id,type,typeName,commodityCode,commodityNameTH,unitName,curMonth,curYear,priceCur,priceVAT,createdAt
4876006,14,พระนครศรีอยุธยา,1203020100600000,สีน้ำพลาสติก  ภายนอก  ชนิดด้าน   ขนาด  3.785  ลิตร  ตรา  ที โอ เอ   (E 100),กระป๋อง,11,2566,420.56,,2025-01-27T04:03:34.129043Z
4874172,14,พระนครศรีอยุธยา,1203020100700000,สีน้ำพลาสติก  ภายนอก   ขนาด  3.785  ลิตร  ตรา  กัปตัน  (ไวนิล  ซิลค์),กระป๋อง,11,2566,420.56,,2025-01-27T04:03:34.129043Z
4872413,14,พระนครศรีอยุธยา,1203020100800000,สีน้ำพลาสติก  ภายนอก    ขนาด  3.785  ลิตร  ตรา ไอ ซี ไอ   ดูลักซ์   (เพนทาไลท์  A921),กระป๋อง,11,2566,560.75,,2025-01-27T04:03:34.129043Z
4872656,14,พระนครศรีอยุธยา,1204020100100000,สีรองพื้นปูนใหม่   ขนาด  3.785  ลิตร   ตราที โอ เอ,กระป๋อง,11,2566,369.16,,2025-01-27T04:03:34.129043Z
4879248,14,พระนครศรีอยุธยา,1206010100100000,น้ำมันเคลือบแข็ง  ภายใน   ขนาด  3.785  ลิตร    ตราเครื่องบิน  บี 52  (ยูนีเทน  ยู 202),กระป๋อง,11,2566,831.78,,2025-01-27T04:03:34.129043Z
4881359,14,พระนครศรีอยุธยา,1206020100100000,น้ำมันเคลือบแข็ง  ภายนอก  ขนาด  3.785  ลิตร   ตราเครื่องบิน  บี 52  (ยูนีเทน   ยู 404),กระป๋อง,11,2566,1098.14,,2025-01-27T04:03:34.129043Z
4869438,14,พระนครศรีอยุธยา,1207010100100000,แลกเกอร์   ชนิดเงา   ขนาด  3.785  ลิตร  ตรา  ที โอ เอ,กระป๋อง,11,2566,481.31,,2025-01-27T04:03:34.129043Z
4874336,14,พระนครศรีอยุธยา,1209010100100000,ทินเนอร์   ขนาด  2.1  ลิตร  ตรา BARCO,กระป๋อง,11,2566,133.18,,2025-01-27T04:03:34.129043Z
4896659,14,พระนครศรีอยุธยา,1301010100100000,กระดาษทรายขัดไม้  เบอร์ 0 ขนาด 9 x 11 นิ้ว   ตราจระเข้ 3 ดาว,โหล,11,2566,86.04,,2025-01-27T04:03:34.129043Z
4896820,14,พระนครศรีอยุธยา,1301010100400000,กระดาษทรายขัดไม้  เบอร์ 3 ขนาด 9 x 11 นิ้ว   ตราจระเข้ 3 ดาว,โหล,11,2566,87.13,,2025-01-27T04:03:34.129043Z
